Transaction Number,Transaction Date,Transaction Type,Transaction Description,Debit Amount,Credit Amount,Balance,Category,Location City,Location Country
1,25/07/2022,BP,SAVE THE CHANGE,3.11,,541.43,Savings,Nottingham,UK
2,25/07/2022,DEB,LIDL GB  NOTTINGHA,15.02,,544.54,Groceries,Nottingham,UK
3,25/07/2022,DEB,NON-GBP PURCH FEE,0.5,,559.56,Others,Nottingham,UK
4,25/07/2022,DEB,NON-GBP TRANS FEE,0.37,,560.06,Others,Nottingham,UK
5,25/07/2022,DEB,TRAVELIUM LLC,12.59,,560.43,,,
6,25/07/2022,DEB,Audible UK,7.99,,573.02,Entertainment,Nottingham,UK
7,25/07/2022,FPO,MISS D WU,25,,581.01,Services,Nottingham,UK
8,25/07/2022,DEB,SAINSBURYS S/MKTS,35.57,,606.01,Groceries,Nottingham,UK
9,22/07/2022,DEB,LIDL GB  NOTTINGHA,18.21,,641.58,Groceries,Nottingham,UK
10,22/07/2022,DEB,Amazon.co.uk*VK6IN,13.51,,659.79,Amazon,Nottingham,UK
11,22/07/2022,FPO,MR J DOME,175,,673.3,Services,Nottingham,UK
12,21/07/2022,FPO,MISS D WU,35,,848.3,Services,Nottingham,UK
13,20/07/2022,FPO,TRADING212UK,200,,883.3,Investment,Nottingham,UK
14,20/07/2022,FPI,SHEILA SMITH,,390,1083.3,Supplementary Income,Nottingham,UK
15,20/07/2022,BP,SAVE THE CHANGE,0.65,,693.3,Savings,Nottingham,UK
16,19/07/2022,DEB,THE TERRACE CAFE M,31.35,,693.95,Dine Out,,
17,19/07/2022,BP,SAVE THE CHANGE,1.6,,725.3,Savings,Nottingham,UK
18,18/07/2022,DEB,The Corinthian,7.4,,726.9,Dine Out,Nottingham,UK
19,18/07/2022,DEB,The Corinthian,4.6,,734.3,Dine Out,Nottingham,UK
20,18/07/2022,DEB,TIGERMILK EVENTS,4.5,,738.9,Entertainment,Plymouth,UK
21,18/07/2022,DEB,UBER   *TRIP,11.9,,743.4,Travel,Plymouth,UK
22,18/07/2022,DD,VIRGIN MEDIA PYMTS,56.25,,755.3,Bills,Nottingham,UK
23,18/07/2022,DD,O2,17.95,,811.55,Other Shopping,Nottingham,UK
24,18/07/2022,BP,SAVE THE CHANGE,2.4,,829.5,Savings,Nottingham,UK
25,18/07/2022,CPT,LNK COOPERATIVE PL,40,,831.9,Cash,Plymouth,UK
26,18/07/2022,DEB,COSMIC KITCHEN LIM,75.8,,871.9,Home Improvement,Nottingham,UK
27,18/07/2022,DEB,TESCO STORE 3033,20,,947.7,Groceries,Plymouth,UK
28,18/07/2022,DEB,CROWNE PLAZA,10,,967.7,Hotels,Plymouth,UK
29,18/07/2022,DEB,EAST MIDS RAILWAY,213,,977.7,Travel,Plymouth,UK
30,18/07/2022,DEB,AMZNMktplace,26.99,,1190.7,Amazon,Nottingham,UK
31,18/07/2022,DEB,TESCO STORE 3033,22.1,,1217.69,Groceries,Plymouth,UK
32,18/07/2022,DEB,SumUp  *Taxi first,8,,1239.79,Travel,Plymouth,UK
33,15/07/2022,DEB,Amazon.co.uk*ST7ZE,42.01,,1247.79,Amazon,Nottingham,UK
34,15/07/2022,DEB,ASPIRE CAFE,2.7,,1289.8,Dine Out,Nottingham,UK
35,15/07/2022,FPI,WU,,27,1292.5,Supplementary Income,Nottingham,UK
36,15/07/2022,BP,SAVE THE CHANGE,1.43,,1265.5,Savings,Nottingham,UK
37,14/07/2022,DEB,UBER   *TRIP,5.66,,1266.93,Travel,Nottingham,UK
38,14/07/2022,DEB,UBER   *TRIP,5.38,,1272.59,Travel,Nottingham,UK
39,14/07/2022,DEB,MEDINA CONTINENTAL,4.53,,1277.97,Dine Out,Nottingham,UK
40,14/07/2022,BP,SAVE THE CHANGE,1.01,,1282.5,Savings,Nottingham,UK
41,13/07/2022,DEB,HPI INSTANT INK UK,4.49,,1283.51,Other Shopping,Nottingham,UK
42,13/07/2022,DEB,CAFE TERRAZZO,3.5,,1288,Dine Out,Nottingham,UK
43,13/07/2022,BP,SAVE THE CHANGE,0.08,,1291.5,Savings,Nottingham,UK
44,12/07/2022,FPO,CAPEWELL WINDOW CL,30,,1291.58,Home Improvement,Nottingham,UK
45,12/07/2022,DEB,AMZNMktplace,12.99,,1321.58,Amazon,Nottingham,UK
46,12/07/2022,DEB,AMZNMktplace,9.93,,1334.57,Amazon,Nottingham,UK
47,12/07/2022,BP,SAVE THE CHANGE,0.28,,1344.5,Savings,Nottingham,UK
48,11/07/2022,DEB,LIDL GB  NOTTINGHA,47.84,,1344.78,Groceries,Nottingham,UK
49,11/07/2022,DEB,UBER   *TRIP,4.88,,1392.62,Travel,Nottingham,UK
50,11/07/2022,BP,SAVE THE CHANGE,1.16,,1397.5,Savings,Nottingham,UK
51,11/07/2022,DEB,UBER   *TRIP,9.69,,1398.66,Travel,Nottingham,UK
52,11/07/2022,DEB,UBER   *TRIP,7.48,,1408.35,Travel,Nottingham,UK
53,11/07/2022,DEB,Subway 26377 Corne,6.89,,1415.83,Dine Out,Nottingham,UK
54,11/07/2022,DEB,UBER   *TRIP,1,,1422.72,Travel,Nottingham,UK
55,08/07/2022,FPI,Zoe Zappa,,325,1423.72,Supplementary Income,Nottingham,UK
56,08/07/2022,DEB,DOSA N CHUTNEY,34.78,,1098.72,Dine Out,Nottingham,UK
57,08/07/2022,BGC,UNIV OF NOTTINGHAM,,351.08,1133.5,Travel Reimbursement,Nottingham,UK
58,07/07/2022,BP,SAVE THE CHANGE,0.77,,782.42,Savings,Nottingham,UK
59,06/07/2022,DEB,Hotel on Booking.c,196.24,,783.19,Hotels,Nottingham,UK
60,06/07/2022,DEB,AMZNMktplace,6.99,,979.43,Amazon,Nottingham,UK
61,06/07/2022,BP,SAVE THE CHANGE,0.26,,986.42,Savings,Nottingham,UK
62,05/07/2022,DEB,AMZNMktplace,15.99,,986.68,Amazon,Nottingham,UK
63,05/07/2022,DEB,AMZNMktplace,2.75,,1002.67,Amazon,Nottingham,UK
64,04/07/2022,DEP,CLUB LLOYDS WAIVED,,3,1005.42,Supplementary Income,Nottingham,UK
65,04/07/2022,PAY,CLUB LLOYDS FEE,3,,1002.42,Bills,Nottingham,UK
66,04/07/2022,FPI,O CONNOR CAROL,,10,1005.42,Supplementary Income,Nottingham,UK
67,04/07/2022,BP,SAVE THE CHANGE,0.63,,995.42,Savings,Nottingham,UK
68,04/07/2022,FPO,PAULINA PIPPEN,280,,996.05,Safety Deposit Return,,
69,04/07/2022,DEB,AMZNMktplace,27.99,,1276.05,Amazon,Nottingham,UK
70,01/07/2022,,INTEREST (GROSS),,0.56,1304.04,Interest,Nottingham,UK
71,01/07/2022,DEB,TROPICAL SUMMER FE,240.38,,1303.48,Entertainment,Plymouth,UK
72,01/07/2022,DEB,SumUp  *LTP,6,,1543.86,Services,Nottingham,UK
73,01/07/2022,DD,BARCLAYS UK MTGES,981.71,,1549.86,Bills,Nottingham,UK
74,01/07/2022,DD,NOTTM CITY COUNC,112,,2531.57,Bills,Nottingham,UK
75,01/07/2022,DD,OCTOPUS ENERGY,100,,2643.57,Bills,Nottingham,UK
76,01/07/2022,DD,SEVERN TRENT WATER,43.95,,2743.57,Bills,Nottingham,UK
77,01/07/2022,SO,ESAVINGS ACCOUNT,300,,2787.52,Savings,Nottingham,UK
78,01/07/2022,BP,SAVE THE CHANGE,0.17,,3087.52,Savings,Nottingham,UK
79,01/07/2022,BGC,UNIV OF NOTTINGHAM,,44.32,3087.69,Supplementary Income,Nottingham,UK
80,30/06/2022,DEB,LIDL GB  NOTTINGHA,8.83,,3043.37,Groceries,Nottingham,UK
81,29/06/2022,DEB,Amazon.co.uk*2Y0SX,229,,3052.2,Amazon,Nottingham,UK
82,29/06/2022,FPO,TRADING212UK,1000,,3281.2,Investment,Nottingham,UK
83,29/06/2022,DD,THE GYM LTD,19.99,,4281.2,Fitness,Nottingham,UK
84,29/06/2022,BP,SAVE THE CHANGE,0.21,,4301.19,Savings,Nottingham,UK
85,29/06/2022,BGC,UNIV OF NOTTINGHAM,,3748.52,4301.4,Paycheck,Nottingham,UK
86,28/06/2022,DEB,LIDL GB  NOTTINGHA,6.79,,552.88,Groceries,Nottingham,UK
87,28/06/2022,BP,SAVE THE CHANGE,2,,559.67,Savings,Nottingham,UK
88,27/06/2022,CPT,LNK TESCO HK R NOT,50,,561.67,Cash,nottingham,UK
89,27/06/2022,DEB,LIDL GB NOTTINGHAM,22.09,,611.67,Groceries,Nottingham,UK
90,27/06/2022,DEB,POUNDLAND LTD 1718,14.25,,633.76,Groceries,Nottingham,UK
91,27/06/2022,DEB,UBER   *TRIP,5.78,,648.01,Travel,,
92,27/06/2022,DEB,IZ *LTD GROUP LIMI,4.93,,653.79,Home Improvement,Nottingham,UK
93,27/06/2022,DEB,GREGGS PLC,3.95,,658.72,Dine Out,,
94,27/06/2022,BP,SAVE THE CHANGE,3.26,,662.67,Savings,Nottingham,UK
95,27/06/2022,DEB,HEAVENLY DESSERTS,11.9,,665.93,Dine Out,Nottingham,UK
96,27/06/2022,DEB,LIDL GB  NOTTINGHA,13.06,,677.83,Groceries,Nottingham,UK
97,24/06/2022,DEB,PIE MINISTER,41.2,,690.89,Dine Out,Nottingham,UK
98,24/06/2022,DEB,BELL INN,14.09,,732.09,Dine Out,Nottingham,UK
99,24/06/2022,DEB,CAFE TERRAZZO,3.5,,746.18,Dine Out,Nottingham,UK
100,24/06/2022,DEB,Audible UK,7.99,,749.68,Entertainment,Nottingham,UK
101,24/06/2022,DEB,PIE MINISTER,,8.17,757.67,Supplementary Income,Nottingham,UK
102,23/06/2022,BP,SAVE THE CHANGE,1.26,,749.5,Savings,Nottingham,UK
103,22/06/2022,DEB,DOMINO'S PIZZA,9.99,,750.76,Dine Out,,
104,22/06/2022,DEB,LIDL GB NOTTINGHAM,5.25,,760.75,Groceries,Nottingham,UK
105,22/06/2022,DEB,CAFE TERRAZZO,3.5,,766,Dine Out,Nottingham,UK
106,22/06/2022,BP,SAVE THE CHANGE,1.09,,769.5,Savings,Nottingham,UK
107,21/06/2022,DEB,UBER   *TRIP,6.59,,770.59,Travel,,
108,21/06/2022,DEB,NON-GBP TRANS FEE,0.06,,777.18,Others,Nottingham,UK
109,21/06/2022,DEB,ROMA TERMINI SELF,2.32,,777.24,Travel,Roma,Italy
110,21/06/2022,BP,SAVE THE CHANGE,0.92,,779.56,Savings,Nottingham,UK
111,20/06/2022,DEB,DOSA N CHUTNEY,41.2,,780.48,Dine Out,Nottingham,UK
112,20/06/2022,FPO,PAULINA PIPPEN,4.52,,821.68,Food Shopping,,
113,20/06/2022,FPO,MISS D WU,11,,826.2,Services,Nottingham,UK
114,20/06/2022,FPO,TRADING212UK,200,,837.2,Investment,Nottingham,UK
115,20/06/2022,FPI,SHEILA SMITH,,390,1037.2,Supplementary Income,Nottingham,UK
116,20/06/2022,DEB,NON-GBP TRANS FEE,0.44,,647.2,Others,Nottingham,UK
117,20/06/2022,DEB,CHEF EXPRESS S.P.A,14.88,,647.64,Dine Out,Roma,Italy
118,20/06/2022,BP,SAVE THE CHANGE,1.72,,662.52,Savings,Nottingham,UK
119,20/06/2022,DEB,NON-GBP TRANS FEE,0.57,,664.24,Others,Nottingham,UK
120,20/06/2022,DEB,MS* CASASANTASOFIA,19.27,,664.81,Services,Nottingham,UK
121,20/06/2022,DEB,NON-GBP TRANS FEE,0.37,,684.08,Others,Nottingham,UK
122,20/06/2022,DEB,Pizza Forum,12.47,,684.45,Dine Out,Roma,Italy
123,20/06/2022,DEB,AMZNMktplace,23,,696.92,Amazon,Nottingham,UK
124,20/06/2022,DEB,NON-GBP TRANS FEE,0.46,,719.92,Others,Nottingham,UK
125,20/06/2022,DEB,BUDDY ITALIAN REST,15.54,,720.38,Dine Out,Roma,Italy
126,17/06/2022,DD,VIRGIN MEDIA PYMTS,56.25,,735.92,Bills,Nottingham,UK
127,17/06/2022,BP,SAVE THE CHANGE,1.26,,792.17,Savings,Nottingham,UK
128,16/06/2022,DEB,NON-GBP TRANS FEE,0.76,,793.43,Others,Nottingham,UK
129,16/06/2022,DEB,UBER   *TRIP,25.57,,794.19,Travel,Roma,Italy
130,16/06/2022,DEB,NON-GBP TRANS FEE,0.57,,819.76,Others,Nottingham,UK
131,16/06/2022,DEB,UBER *TRIP HELP.UB,19.17,,820.33,Travel,Roma,Italy
132,16/06/2022,DD,O2,18.01,,839.5,Other Shopping,Nottingham,UK
133,15/06/2022,BP,SAVE THE CHANGE,0.51,,857.51,Savings,Nottingham,UK
134,14/06/2022,DEB,NON-GBP TRANS FEE,5.11,,858.02,Others,Nottingham,UK
135,14/06/2022,DEB,POSTE ITALIANE,171,,863.13,Others,Nottingham,UK
136,14/06/2022,DEB,HPI INSTANT INK UK,4.49,,1034.13,Other Shopping,Nottingham,UK
137,14/06/2022,BP,SAVE THE CHANGE,0.51,,1038.62,Savings,Nottingham,UK
138,13/06/2022,DEB,EAST MIDS RAILWAY,56.7,,1039.13,Travel,Roma,Italy
139,13/06/2022,DEB,WH SMITH,8.79,,1095.83,Other Shopping,Nottingham,UK
140,13/06/2022,BP,SAVE THE CHANGE,4.3,,1104.62,Savings,Nottingham,UK
141,13/06/2022,DEB,ASIANA HYPERMARKET,60.83,,1108.92,Groceries,Nottingham,UK
142,13/06/2022,DEB,LIDL GB NOTTINGHAM,34.12,,1169.75,Groceries,Nottingham,UK
143,13/06/2022,DEB,UBER* TRIP,7.01,,1203.87,Travel,,
144,13/06/2022,CPT,LNK NOTTINGHAM RAI,30,,1210.88,Cash,Nottingham,UK
145,13/06/2022,DEB,UBER   *TRIP,7.51,,1240.88,Travel,,
146,13/06/2022,DEB,AMZNMktplace,5.55,,1248.39,Amazon,Nottingham,UK
147,13/06/2022,FPO,MISS D WU,29,,1253.94,Services,Nottingham,UK
148,13/06/2022,DEB,DOMINO'S PIZZA - H,,9.99,1282.94,Supplementary Income,Nottingham,UK
149,10/06/2022,FPO,MISS D WU,16,,1272.95,Services,Nottingham,UK
150,10/06/2022,DEB,LIDL GB  NOTTINGHA,11.43,,1288.95,Groceries,Nottingham,UK
151,10/06/2022,DEB,CAFE TERRAZZO,2.25,,1300.38,Dine Out,Nottingham,UK
152,09/06/2022,BP,SAVE THE CHANGE,0.97,,1302.63,Savings,Nottingham,UK
153,08/06/2022,DEB,Subway 32610 Midla,13.78,,1303.6,Dine Out,Nottingham,UK
154,08/06/2022,DEB,CAFE TERRAZZO,2.25,,1317.38,Dine Out,Nottingham,UK
155,07/06/2022,BP,SAVE THE CHANGE,2.04,,1319.63,Savings,Nottingham,UK
156,06/06/2022,DEP,CLUB LLOYDS WAIVED,,3,1321.67,Amazon,Nottingham,UK
157,06/06/2022,PAY,CLUB LLOYDS FEE,3,,1318.67,Bills,Nottingham,UK
158,06/06/2022,DEB,AMZNMktplace,9.99,,1321.67,Supplementary Income,Nottingham,UK
159,06/06/2022,DEB,PRIMARK,38.3,,1331.66,Clothes,,
160,06/06/2022,DEB,BLEND COFFEE HOUSE,18.45,,1369.96,Dine Out,Nottingham,UK
161,06/06/2022,DEB,Murat food centre,13.81,,1388.41,Groceries,Nottingham,UK
162,06/06/2022,DEB,HEAVENLY DESSERTS,4.41,,1402.22,Dine Out,Nottingham,UK
163,06/06/2022,DEB,BLEND COFFEE HOUSE,,3.25,1406.63,Supplementary Income,Nottingham,UK
164,06/06/2022,BP,SAVE THE CHANGE,2.76,,1403.38,Savings,Nottingham,UK
165,06/06/2022,DEB,WHITE ROSE TRADING,29.05,,1406.14,Clothes,,
166,06/06/2022,DEB,PIE MINISTER,23,,1435.19,Dine Out,Nottingham,UK
167,06/06/2022,DEB,CINEWORLD NOT CP,19.98,,1458.19,Entertainment,Nottingham,UK
168,06/06/2022,DEB,LIDL GB NOTTINGHAM,16.37,,1478.17,Groceries,Nottingham,UK
169,06/06/2022,DEB,CLOUD9 PURSUITS LT,10,,1494.54,Entertainment,Reading,UK
170,06/06/2022,DEB,DOMINO'S PIZZA,9.99,,1504.54,Dine Out,,
171,06/06/2022,DEB,DOMINO'S PIZZA,9.99,,1514.53,Dine Out,,
172,06/06/2022,DEB,DOMINO'S PIZZA,9.99,,1524.52,Dine Out,,
173,06/06/2022,DEB,Amazon.co.uk*2G6K0,6.98,,1534.51,Amazon,Nottingham,UK
174,06/06/2022,DEB,DOMINO'S PIZZA,1.64,,1541.49,Dine Out,,
175,06/06/2022,DEB,LIDL GB  NOTTINGHA,9,,1543.13,Groceries,Nottingham,UK
176,01/06/2022,,INTEREST (GROSS),,0.56,1552.13,Interest,Nottingham,UK
177,01/06/2022,DEB,CAFE TERRAZZO,4.25,,1551.57,Dine Out,Nottingham,UK
178,01/06/2022,DD,BARCLAYS UK MTGES,981.71,,1555.82,Bills,Nottingham,UK
179,01/06/2022,DD,NOTTM CITY COUNC,112,,2537.53,Bills,Nottingham,UK
180,01/06/2022,DD,OCTOPUS ENERGY,100,,2649.53,Bills,Nottingham,UK
181,01/06/2022,DD,SEVERN TRENT WATER,43.97,,2749.53,Bills,Nottingham,UK
182,01/06/2022,SO,ESAVINGS ACCOUNT,300,,2793.5,Savings,Nottingham,UK
183,31/05/2022,BP,SAVE THE CHANGE,1.71,,3093.5,Savings,Nottingham,UK
184,30/05/2022,DEB,13th Element,35.5,,3095.21,Dine Out,Nottingham,UK
185,30/05/2022,DEB,ORIENTAL MART HYDR,16.49,,3130.71,Groceries,Nottingham,UK
186,30/05/2022,DEB,IZ *WHITE ROSE TRA,12,,3147.2,Clothes,,
187,30/05/2022,DEB,THE GYM LIMITED,10,,3159.2,Fitness,Nottingham,UK
188,30/05/2022,DEB,HUI LAU SHAN,9.8,,3169.2,Dine Out,Nottingham,UK
189,30/05/2022,DEB,POUNDLAND LTD 1718,1.5,,3179,Groceries,Nottingham,UK
190,30/05/2022,FPO,TRADING212UK,1100,,3180.5,Investment,Nottingham,UK
191,30/05/2022,BP,SAVE THE CHANGE,1.89,,4280.5,Savings,Nottingham,UK
192,30/05/2022,BGC,UNIV OF NOTTINGHAM,,3748.92,4282.39,Paycheck,Nottingham,UK
193,30/05/2022,FPO,MISS D WU,26,,533.47,Services,Nottingham,UK
194,30/05/2022,DEB,BACHATA SUENO,24,,559.47,Entertainment,Nottingham,UK
195,30/05/2022,DEB,LIDL GB  NOTTINGHA,11.58,,583.47,Groceries,Nottingham,UK
196,30/05/2022,DEB,Amazon.co.uk*2G8AO,5.99,,595.05,Amazon,Nottingham,UK
197,27/05/2022,DEB,AMZNMktplace,55.58,,601.04,Amazon,Nottingham,UK
198,27/05/2022,DEB,LIDL GB NOTTINGHAM,31.9,,656.62,Groceries,Nottingham,UK
199,27/05/2022,DEB,UBER   *TRIP,5.06,,688.52,Travel,,
200,27/05/2022,BP,SAVE THE CHANGE,1.03,,693.58,Savings,Nottingham,UK
201,26/05/2022,CPT,LNK TESCO NO RA RD,50,,694.61,Cash,Nottingham,UK
202,26/05/2022,DEB,LIDL GB  NOTTINGHA,6.47,,744.61,Groceries,Nottingham,UK
203,26/05/2022,DEB,CAFE TERRAZZO,2.5,,751.08,Dine Out,Nottingham,UK
204,26/05/2022,BP,SAVE THE CHANGE,0.53,,753.58,Savings,Nottingham,UK
205,25/05/2022,DEB,LIDL GB NOTTINGHAM,16.83,,754.11,Groceries,Nottingham,UK
206,25/05/2022,DEB,AMZNMktplace,6.99,,770.94,Amazon,Nottingham,UK
207,25/05/2022,DEB,CAFE TERRAZZO,2.65,,777.93,Dine Out,Nottingham,UK
208,25/05/2022,FPO,TRADING212UK,200,,780.58,Investment,Nottingham,UK
209,25/05/2022,FPI,PAULINA PIPPEN,,325,980.58,Supplementary Income,Nottingham,UK
210,25/05/2022,BP,SAVE THE CHANGE,0.71,,655.58,Savings,Nottingham,UK
211,24/05/2022,DEB,LIDL GB  NOTTINGHA,5.3,,656.29,Groceries,Nottingham,UK
212,24/05/2022,DEB,Audible UK,7.99,,661.59,Entertainment,Nottingham,UK
213,24/05/2022,BP,SAVE THE CHANGE,0.31,,669.58,Savings,Nottingham,UK
214,23/05/2022,DEB,POUNDLAND LTD 1726,16,,669.89,Groceries,Nottingham,UK
215,23/05/2022,DEB,TESCO STORE 2960,15.69,,685.89,Groceries,,
216,23/05/2022,DEB,ALADDINS BIKES,120,,701.58,Other Shopping,Nottingham,UK
217,23/05/2022,BP,SAVE THE CHANGE,1.37,,821.58,Savings,Nottingham,UK
218,23/05/2022,DEB,IZ *WHITE ROSE TRA,12.5,,822.95,Clothes,,
219,23/05/2022,DEB,TESCO STORES 6430,2.75,,835.45,Groceries,,
220,23/05/2022,CPT,LNK SAINSBURYS BAN,40,,838.2,Cash,,
221,20/05/2022,FPO,MISS D WU,15,,878.2,Services,Nottingham,UK
222,20/05/2022,DEB,Kaya Food Centre,6.38,,893.2,Groceries,Nottingham,UK
223,20/05/2022,DEB,ALADDINS BIKES,22,,899.58,Other Shopping,Nottingham,UK
224,20/05/2022,FPO,MISS D WU,22,,921.58,Services,Nottingham,UK
225,20/05/2022,FPO,TRADING212UK,300,,943.58,Investment,Nottingham,UK
226,20/05/2022,FPI,SHEILA SMITH,,380,1243.58,Supplementary Income,Nottingham,UK
227,20/05/2022,BP,SAVE THE CHANGE,1.36,,863.58,Savings,Nottingham,UK
228,19/05/2022,DEB,AMZNMktplace,33.02,,864.94,Amazon,Nottingham,UK
229,19/05/2022,DEB,Amazon.co.uk*255RJ,14.99,,897.96,Amazon,Nottingham,UK
230,19/05/2022,DEB,LIDL GB  NOTTINGHA,4.63,,912.95,Groceries,Nottingham,UK
231,19/05/2022,BP,SAVE THE CHANGE,1.32,,917.58,Savings,Nottingham,UK
232,18/05/2022,DEB,ORIENTAL MART HYDR,26.16,,918.9,Groceries,Nottingham,UK
233,18/05/2022,DEB,IZ *WHITE ROSE TRA,10,,945.06,Clothes,,
234,18/05/2022,DEB,AMZNMktplace,2.87,,955.06,Amazon,Nottingham,UK
235,18/05/2022,DEB,CAFE TERRAZZO,2.65,,957.93,Dine Out,Nottingham,UK
236,18/05/2022,BP,SAVE THE CHANGE,0.85,,960.58,Savings,Nottingham,UK
237,17/05/2022,DEB,Amazon.co.uk*257UG,12.15,,961.43,Amazon,Nottingham,UK
238,17/05/2022,DD,VIRGIN MEDIA PYMTS,25.5,,973.58,Bills,Nottingham,UK
239,17/05/2022,BP,SAVE THE CHANGE,0.98,,999.08,Savings,Nottingham,UK
240,16/05/2022,DEB,NATIONAL MERCH,30,,1000.06,Clothes,,
241,16/05/2022,DEB,HEAVENLY DESSERTS,11.34,,1030.06,Dine Out,Nottingham,UK
242,16/05/2022,DEB,HEAVENLY DESSERTS,4.68,,1041.4,Dine Out,Nottingham,UK
243,16/05/2022,DD,O2,17.95,,1046.08,Other Shopping,Nottingham,UK
244,16/05/2022,BP,SAVE THE CHANGE,3.17,,1064.03,Savings,Nottingham,UK
245,16/05/2022,DEB,SAINSBURYS S/MKTS,35.8,,1067.2,Groceries,,
246,16/05/2022,DEB,DOSA N CHUTNEY,32.2,,1103,Dine Out,Nottingham,UK
247,16/05/2022,DEB,Amazon.co.uk*259S0,7.99,,1135.2,Amazon,Nottingham,UK
248,16/05/2022,DEB,LIDL GB  NOTTINGHA,15.84,,1143.19,Groceries,Nottingham,UK
249,16/05/2022,DEB,Amazon.co.uk*255B9,10.99,,1159.03,Amazon,Nottingham,UK
250,16/05/2022,DEB,ALADDINS BIKES,6,,1170.02,Other Shopping,Nottingham,UK
251,13/05/2022,DEB,HPI INSTANT INK UK,4.49,,1176.02,Other Shopping,,
252,13/05/2022,DEB,Subway 32610 Midla,11.48,,1180.51,Dine Out,Nottingham,UK
253,13/05/2022,DEB,LIDL GB NOTTINGHAM,7.54,,1191.99,Groceries,Nottingham,UK
254,13/05/2022,DEB,DERBY MED CAFE,3.5,,1199.53,Dine Out,Derby,UK
255,13/05/2022,FPO,TRADING212UK,500,,1203.03,Investment,Nottingham,UK
256,13/05/2022,TFR,R LAWRENCE,,300,1703.03,Supplementary Income,Nottingham,UK
257,12/05/2022,BP,SAVE THE CHANGE,0.5,,1403.03,Savings,Nottingham,UK
258,12/05/2022,BGC,NCC TRADE CRED NEW,,150,1403.53,Supplementary Income,Nottingham,UK
259,11/05/2022,DEB,UBER   *TRIP,4,,1253.53,Travel,,
260,11/05/2022,DEB,DERBY MED CAFE,3.5,,1257.53,Dine Out,Derby,UK
261,11/05/2022,BP,SAVE THE CHANGE,0.59,,1261.03,Savings,Nottingham,UK
262,10/05/2022,FPO,MISS D WU,13,,1261.62,Services,Nottingham,UK
263,10/05/2022,DEB,RAJAH FOOD STORE L,20.41,,1274.62,Groceries,Nottingham,UK
264,09/05/2022,BP,SAVE THE CHANGE,2.25,,1295.03,Savings,Nottingham,UK
265,09/05/2022,DEB,MASALA JUNCTION,47.98,,1297.28,Dine Out,Nottingham,UK
266,09/05/2022,DEB,LIDL GB  NOTTINGHA,14.01,,1345.26,Groceries,Nottingham,UK
267,09/05/2022,DEB,LIDL GB  NOTTINGHA,5.85,,1359.27,Groceries,Nottingham,UK
268,09/05/2022,FPI,SHEILA SMITH,,50,1365.12,Supplementary Income,Nottingham,UK
269,06/05/2022,DEB,HEAVENLY DESSERTS,10.26,,1315.12,Dine Out,Nottingham,UK
270,06/05/2022,DEB,CAFE TERRAZZO,6,,1325.38,Dine Out,Nottingham,UK
271,06/05/2022,DEB,CAFE TERRAZZO,2.65,,1331.38,Dine Out,Nottingham,UK
272,06/05/2022,BP,SAVE THE CHANGE,1.46,,1334.03,Savings,Nottingham,UK
273,05/05/2022,DEB,AMZN Mktp US*1363Y,22.7,,1335.49,Amazon,Nottingham,UK
274,05/05/2022,DEB,AMZNMktplace,43.77,,1358.19,Amazon,Nottingham,UK
275,05/05/2022,DEB,LIDL GB  NOTTINGHA,8.57,,1401.96,Groceries,Nottingham,UK
276,05/05/2022,DEB,DERBY MED CAFE,3.5,,1410.53,Dine Out,Derby,UK
277,05/05/2022,DD,OCTOPUS ENERGY,100,,1414.03,Bills,Nottingham,UK
278,04/05/2022,DEP,CLUB LLOYDS WAIVED,,3,1514.03,Supplementary Income,Nottingham,UK
279,04/05/2022,PAY,CLUB LLOYDS FEE,3,,1511.03,Bills,Nottingham,UK
280,04/05/2022,DD,NOTTM CITY COUNC,112,,1514.03,Bills,Nottingham,UK
281,04/05/2022,BP,SAVE THE CHANGE,0.42,,1626.03,Savings,Nottingham,UK
282,03/05/2022,,INTEREST (GROSS),,0.57,1626.45,Interest,Nottingham,UK
283,03/05/2022,FPO,MISS D WU,23,,1625.88,Services,Nottingham,UK
284,03/05/2022,DEB,LIDL GB  NOTTINGHA,12.58,,1648.88,Groceries,Nottingham,UK
285,03/05/2022,FPO,MISS D WU,21,,1661.46,Services,Nottingham,UK
286,03/05/2022,TFR,R LAWRENCE,,230.66,1682.46,Supplementary Income,Nottingham,UK
287,03/05/2022,DD,BARCLAYS UK MTGES,981.71,,1451.8,Bills,Nottingham,UK
288,03/05/2022,DD,SEVERN TRENT WATER,41.89,,2433.51,Bills,Nottingham,UK
289,03/05/2022,SO,ESAVINGS ACCOUNT,300,,2475.4,Savings,Nottingham,UK
290,03/05/2022,BP,SAVE THE CHANGE,3.99,,2775.4,Savings,Nottingham,UK
291,03/05/2022,DEB,ALDI,37.27,,2779.39,Groceries,,
292,03/05/2022,DEB,AMZNMktplace,28.65,,2816.66,Amazon,Nottingham,UK
293,03/05/2022,DEB,ORIENTAL MART HYDR,12.8,,2845.31,Groceries,Nottingham,UK
294,03/05/2022,DEB,STARBUCKS,8.3,,2858.11,Dine Out,,
295,03/05/2022,DEB,KFC NOTTINGHAM,1.49,,2866.41,Dine Out,Nottingham,UK
296,03/05/2022,DEB,SQ *NOTTINGHAM BAC,10,,2867.9,Entertainment,Nottingham,UK
